,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Non Current Deferred Assets,26055191000.0,45312604000.0,24135263000.0,17505146000.0
Non Current Deferred Taxes Assets,19189575000.0,46061377000.0,68465939000.0,63725768000.0
Financial Assets,0.0,95303149000.0,0.0,
Investmentin Financial Assets,182880691000.0,358322497000.0,649425278000.0,770420779000.0
Available For Sale Securities,182880691000.0,358322497000.0,649425278000.0,770420779000.0
Long Term Equity Investment,1549744415000.0,1380099964000.0,141889021000.0,102949929000.0
Investmentsin Associatesat Cost,1549744415000.0,1380099964000.0,141889021000.0,102949929000.0
Investment Properties,6278356823000.0,7009011835000.0,7885075191000.0,7918344981000.0
Goodwill And Other Intangible Assets,30334910000.0,30334910000.0,30334910000.0,30334910000.0
Goodwill,30334910000.0,30334910000.0,30334910000.0,30334910000.0
Net PPE,3494414622000.0,3706451560000.0,3903941039000.0,3983436049000.0
Accumulated Depreciation,-1505763912000.0,-1262681004000.0,-1021993828000.0,-734686333000.0
Gross PPE,5000178534000.0,4969132564000.0,4925934867000.0,4718122382000.0
Construction In Progress,11916382000.0,6857659000.0,37335735000.0,1172270558000.0
Other Properties,88372066000.0,88349878000.0,98888512000.0,97700197000.0
Machinery Furniture Equipment,818492654000.0,802513560000.0,787726040000.0,394676279000.0
Buildings And Improvements,3625945107000.0,3615959142000.0,3546782255000.0,2595365963000.0
Land And Improvements,455452325000.0,455452325000.0,455202325000.0,458109385000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,11110900726000.0,11303386748000.0,11958891761000.0,11676576495000.0
Prepaid Assets,2170061119000.0,2165398008000.0,2172073524000.0,2096952107000.0
Inventory,7456110909000.0,7177501306000.0,7773970438000.0,7362262748000.0
Finished Goods,7452885117000.0,7174582185000.0,7770911522000.0,7359525222000.0
Raw Materials,3225792000.0,2919121000.0,3058916000.0,2737526000.0
Other Receivables,260198234000.0,270382811000.0,310565429000.0,295925775000.0
Accounts Receivable,456162482000.0,590897906000.0,640039667000.0,1076730077000.0
Allowance For Doubtful Accounts Receivable,-1909119000.0,-2089729000.0,-575711000.0,-627125000.0
Gross Accounts Receivable,458071601000.0,592987635000.0,640615378000.0,1077357202000.0
Cash Cash Equivalents And Short Term Investments,768367982000.0,1099206717000.0,1062242703000.0,844705788000.0
Cash And Cash Equivalents,768367982000.0,1099206717000.0,1062242703000.0,844705788000.0
Cash Equivalents,513894432000.0,895471611000.0,845164420000.0,637210923000.0
Cash Financial,254473550000.0,203735106000.0,217078283000.0,207494865000.0
